Interface,Switch,Instant Input Power
-7.7,BHP1-B-3F-SW,TenGigabitEthernet1/1/2
BHP1-B-6F-SW,-4.3,TenGigabitEthernet1/1/1
BHP1-B-6F-SW,-6.9,TenGigabitEthernet1/1/2
BHP1-B-9F-SW,-4.0,TenGigabitEthernet1/1/1
BHP1-B-9F-SW,TenGigabitEthernet1/1/2,-40.0
BHP1-B-GF-SW,-4.6,TenGigabitEthernet1/1/1
BHP1-B-GF-SW,-5.5,TenGigabitEthernet1/1/2
-5.1,BHQ-A-3F-SW,TenGigabitEthernet1/1/1
-3.4,BHQ-A-3F-SW,TenGigabitEthernet1/1/2
BHQ-A-6F-SW,-3.2,TenGigabitEthernet1/1/1
BHQ-A-6F-SW,-3.1,TenGigabitEthernet1/1/2
-6.8,BHQ-A-9F-SW,TenGigabitEthernet1/1/1
-40.0,TenGigabitEthernet1/1/2,BHQ-A-9F-SW
BHQ-A-GF-SW,-13.5,TenGigabitEthernet1/1/1
BHQ-A-GF-SW,TenGigabitEthernet1/1/2,-9.6
BHQ-B-3F-SW,-9.9,TenGigabitEthernet1/1/1
BHQ-B-3F-SW,-4.8,TenGigabitEthernet1/1/2
-4.5,BHQ-B-6F-SW,TenGigabitEthernet1/1/1
TenGigabitEthernet1/1/2,BHQ-B-6F-SW,-2.0
BHQ-B-9F-SW,-5.0,TenGigabitEthernet1/1/1
-40.0,BHQ-B-9F-SW,TenGigabitEthernet1/1/2
-3.0,BHQ-B-GF-SW,TenGigabitEthernet1/1/1
TenGigabitEthernet1/1/2,-4.0,BHQ-B-GF-SW
BM-1F,-4.8,TenGigabitEthernet2/1/1
BM-1F,-40.0,TenGigabitEthernet2/1/2
-6.7,BM-2F,TenGigabitEthernet2/1/1
-3.8,BM-2F,TenGigabitEthernet2/1/2
-6.0,TenGigabitEthernet2/1/1,BM-3F
TenGigabitEthernet2/1/2,-5.9,BM-3F
-40.0,TenGigabitEthernet1/1/2,BM-GF
TenGigabitEthernet2/1/1,-4.8,BM-GF
-10.8,BT-1F,TenGigabitEthernet3/1/1
TenGigabitEthernet3/1/6,BT-1F,-3.1
BT-1F,TenGigabitEthernet3/1/8,-3.8
-5.9,BT-2F,TenGigabitEthernet2/1/1
-3.9,BT-2F,TenGigabitEthernet2/1/2
-4.7,BT-3F,TenGigabitEthernet2/1/1
-3.9,BT-3F,TenGigabitEthernet2/1/2
BT-GF,-3.6,TenGigabitEthernet2/1/1
BT-GF,-8.1,TenGigabitEthernet2/1/2
TenGigabitEthernet2/1/1,-4.1,BTBM-4F
TenGigabitEthernet2/1/2,-2.9,BTBM-4F
CAMPUS-SCHOOL-2F,-4.2,TenGigabitEthernet1/1/1
-40.0,CAMPUS-SCHOOL-2F,TenGigabitEthernet2/1/1
-5.0,CAMPUS-SCHOOL-GF,TenGigabitEthernet1/1/1
CAMPUS-SCHOOL-GF,-3.3,TenGigabitEthernet2/1/1
CC-00-R5,-3.9,TenGigabitEthernet1/1/1
-6.6,CC-00-R5,TenGigabitEthernet1/1/2
CC-R1-00,-7.1,TenGigabitEthernet1/1/1
CC-R1-00,-3.3,TenGigabitEthernet1/1/2
-6.7,CC-R1-02,TenGigabitEthernet1/1/1
-8.6,TenGigabitEthernet1/1/2,CC-R1-02
-4.0,TenGigabitEthernet1/1/1,CC-R2-02
-3.3,TenGigabitEthernet1/1/2,CC-R2-02
CC-R3-00,-3.8,TenGigabitEthernet1/1/1
CC-R3-00,-7.6,TenGigabitEthernet2/1/1
-4.5,CC-R3-02,TenGigabitEthernet1/1/1
-7.5,TenGigabitEthernet1/1/2,CC-R3-02
-6.4,CC-R4-00,TenGigabitEthernet1/1/1
CC-R4-00,-4.0,TenGigabitEthernet2/1/1
CC-R5-00,-3.8,TenGigabitEthernet1/1/1
CC-R5-00,-4.5,TenGigabitEthernet1/1/2
-5.0,CC-R6-00,TenGigabitEthernet1/1/1
-3.4,CC-R6-00,TenGigabitEthernet1/1/2
CHY-00-ACC,-3.6,TenGigabitEthernet1/1/1
-7.7,CHY-00-ACC,TenGigabitEthernet3/1/1
-3.1,TenGigabitEthernet1/1/4,CHY-01-ACC
TenGigabitEthernet4/1/4,-3.1,CHY-01-ACC
CHY-02-ACC,-2.9,TenGigabitEthernet1/1/1
CHY-02-ACC,-2.2,TenGigabitEthernet3/1/1
CHY-03-ACC,-3.1,TenGigabitEthernet1/1/1
CHY-03-ACC,-4.0,TenGigabitEthernet3/1/1
