Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/1,KNC-R2-03,-3.1
TenGigabitEthernet2/1/1,KNC-R2-03,-3.4
TenGigabitEthernet1/1/1,LH-Part 1-LGF,-2.8
TenGigabitEthernet2/1/1,LH-Part 1-LGF,-0.8
TenGigabitEthernet1/1/1,LH-Part 1-UGF,-6.9
TenGigabitEthernet2/1/1,LH-Part 1-UGF,-1.8
TenGigabitEthernet1/1/1,LH-Part 3-UGF,-6.6
TenGigabitEthernet4/1/1,LH-Part 3-UGF,-1.9
TenGigabitEthernet1/1/1,MSH-North-SW,-5.2
TenGigabitEthernet2/1/1,MSH-North-SW,-4.5
TenGigabitEthernet1/1/1,MSH-South-SW,-3.8
TenGigabitEthernet1/1/2,MSH-South-SW,-100
TenGigabitEthernet1/1/2,MSME-2F-SW,-4.2
TenGigabitEthernet3/1/2,MSME-2F-SW,-3.7
TenGigabitEthernet1/1/1,MSME-3F-SW,-5
TenGigabitEthernet3/1/1,MSME-3F-SW,-40
TenGigabitEthernet1/1/2,MSME-4F-SW,-8.7
TenGigabitEthernet3/1/2,MSME-4F-SW,-12.6
TenGigabitEthernet1/1/1,MSME-GF-SW,-8.1
TenGigabitEthernet2/1/1,MSME-GF-SW,-5.9
TenGigabitEthernet1/1/1,NewDH-SW,-5.2
TenGigabitEthernet1/1/2,NewDH-SW,-40
TenGigabitEthernet1/1/1,RCC-R1-1F,-3.7
TenGigabitEthernet1/1/2,RCC-R1-1F,-5.2
TenGigabitEthernet1/1/1,RCC-R1-2F,-2.1
TenGigabitEthernet2/1/1,RCC-R1-2F,-40
TenGigabitEthernet1/1/1,RCC-R1-3F,-2.2
TenGigabitEthernet1/1/2,RCC-R1-3F,-40
TenGigabitEthernet1/1/1,RCC-R1-4F,-3
TenGigabitEthernet1/1/2,RCC-R1-4F,-9.1
TenGigabitEthernet1/1/1,RCC-R1-GF,-2.1
TenGigabitEthernet2/1/1,RCC-R1-GF,-2.5
TenGigabitEthernet1/1/1,RCC-R2-2F,-3
TenGigabitEthernet2/1/1,RCC-R2-2F,-4.1
TenGigabitEthernet1/1/1,RCC-R2-3F,-2.6
TenGigabitEthernet1/1/1,RCC-R2-4F,-2.8
TenGigabitEthernet2/1/1,RCC-R2-4F,-3.8
TenGigabitEthernet1/1/1,RCC-R2-GF,-3.7
TenGigabitEthernet1/1/2,RCC-R2-GF,-4.9
TenGigabitEthernet1/1/1,SNCC-1F-R1,-3.5
TenGigabitEthernet1/1/2,SNCC-1F-R1,-4.3
TenGigabitEthernet1/1/1,SNCC-1F-R2,-4.3
TenGigabitEthernet1/1/2,SNCC-1F-R2,-3.6
TenGigabitEthernet1/1/1,SNCC-GF-R1,-3.6
TenGigabitEthernet2/1/1,SNCC-GF-R1,-2.4
TenGigabitEthernet1/1/1,SNCC-GF-R2,-4.2
TenGigabitEthernet2/1/1,SNCC-GF-R2,-40
TenGigabitEthernet1/1/1,SNCC-GF-R3,-40
TenGigabitEthernet1/1/2,SNCC-GF-R3,-2.9
TenGigabitEthernet1/1/1,SNCC-GF-R4,-3
TenGigabitEthernet1/1/2,SNCC-GF-R4,-3.3
TenGigabitEthernet1/1/1,SNCC-GF-R5,-3.4
TenGigabitEthernet1/1/2,SNCC-GF-R5,-3.4
TenGigabitEthernet1/1/1,SNCC-GF-R6,-3.3
TenGigabitEthernet1/1/2,SNCC-GF-R6,-6.9
TenGigabitEthernet1/1/1,TIP-A wing-1F,-4.1
TenGigabitEthernet2/1/1,TIP-A wing-1F,-40
TenGigabitEthernet1/1/1,TIP-A wing-2F,-4.8
TenGigabitEthernet1/1/1,TIP-A wing-3F,-3.1
TenGigabitEthernet1/1/2,TIP-A wing-3F,-40
TenGigabitEthernet1/1/1,TIP-A wing-4F,-7.2
TenGigabitEthernet1/1/2,TIP-A wing-4F,-40
TenGigabitEthernet1/1/1,TIP-A wing-GF,-2.5
TenGigabitEthernet2/1/1,TIP-A wing-GF,-3.1
TenGigabitEthernet1/1/1,TIP-B wing-1F,-3.8
TenGigabitEthernet2/1/1,TIP-B wing-1F,-40
TenGigabitEthernet1/1/1,TIP-B wing-2F,-5.1
TenGigabitEthernet1/1/2,TIP-B wing-2F,-24.1
TenGigabitEthernet1/1/1,TIP-B wing-3F,-4.8
TenGigabitEthernet1/1/2,TIP-B wing-3F,-22.9
TenGigabitEthernet1/1/1,TIP-B wing-4F,-3.6
TenGigabitEthernet1/1/2,TIP-B wing-4F,-40
TenGigabitEthernet1/1/1,TIP-B wing-5F,-7.2
TenGigabitEthernet1/1/2,TIP-B wing-5F,-40
TenGigabitEthernet1/1/1,TIP-B wing-GF,-2.7
TenGigabitEthernet2/1/1,TIP-B wing-GF,-3.7
