Policy,Source,Destination,Schedule,Service,Action,IP Pool,NAT,Type,Security Profiles,Log,Bytes
73,"Kandi-Acad
Kandi-campus",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.226,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,35.82 TB
74,"KNC-LAN
MSH-LAN
RCC-LAN",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.231,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,12.4 TB
VLAN-20 (79),VLAN-20,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.246,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,516.87 GB
75,LAN,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.72,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,10.64 TB
76,MSME-LAN,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.237,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,1.41 TB
WIFI-Faculty-A_block (78),WIFI-Faculty-A_block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.184,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,286.36 GB
WIFI (77),WIFI,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.199,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,130.44 TB
80,"SCIent-LAN_&_MGMT
SCIENT-WIFI",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.239,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,576.05 GB
82,"SNCC_WIFI
SNCC-LAN",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.223,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
85,all,all,always,Camps_LAN_Service _Group,ACCEPT,,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
86,all,all,always,Camps_LAN_Service _Group,ACCEPT,,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
87,all,all,always,Camps_LAN_Service _Group,ACCEPT,,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
126,10.9.16.61,14.139.1.126/32,always,"2100
2101
5280
5281
TCP-1717
TCP-27020
TCP-27021
TCP_1718
36162
Camps_LAN_Service _Group",ACCEPT,,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
g-default",All,60.86 MB
LAN_WAN (1),all,all,always,Camps_LAN_Service _Group,ACCEPT,,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,175.76 TB
,,,,,,,,,,,
ssl.root(SSL VPN Tunnel interface) to port28(DMZ),,,,,,,,,,,
SSLVPN_TO_DMZ (6),"all
SSL_VPN",all,always,ALL,ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,0 B
,,,,,,,,,,,
ssl.root(SSL VPN Tunnel interface) to port27(LAN),,,,,,,,,,,
SSLVPN_TO_LAN (5),"all
SSL_VPN",all,always,ALL,ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,0 B
,,,,,,,,,,,
Virtual-wan-link to port28(DMZ),,,,,,,,,,,
103.232.241.38 (10),all,192.168.36.74,always,"HTTP
HTTPS",ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,155.95 MB
103.232.241.25 (11),all,192.168.36.25,always,"HTTP
HTTPS
IMAP
IMAPS
POP3
POP3S
SMTP
TCP_587",ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,3.13 GB
103.232.241.26 (12),all,192.168.36.59,always,"HTTP
HTTPS",ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,20.12 GB
103.232.241.24 (13),all,192.168.36.64,always,"ALL_ICMP
RADIUS
UDP_1814",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,504.97 MB
103.232.241.40 (15),all,192.168.36.40,always,"103.232.241.40
HTTP
HTTPS",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,15.79 GB
218.248.6.137 (17),all,192.168.35.50,always,HTTP,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
18,all,"192.168.35.57
192.168.36.55
192.168.36.57",always,"HTTP
HTTPS
TCP-2048
TCP-22133
TCP_4443
TCP_8443
UDP-2048,4443",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,857.76 GB
55,all,192.168.36.52,always,"103.232.241.13_TCP
HTTP
HTTPS",ACCEPT,,Disabled,Standard,no-inspection,All,978.16 GB
103.232.241.13 (20),"182.73.141.146/32
210.210.24.69/32
210.210.24.71/32
210.210.24.75/32
223.30.150.150/32
223.30.150.155/32",192.168.36.52,always,TCP-17724,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
21,all,192.168.36.53,always,UDP,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,2.94 GB
22,all,192.168.36.63-Wire-Guard-vpn,always,"SSH
UDP-51820",ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,1.55 TB
25,all,192.168.136.17_443,always,TCP-443,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
26,all,192.168.16.150-TCP_1717,always,TCP-1717,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
27,all,192.168.16.150-TCP_1718,always,TCP-1718,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
28,all,192.168.88.31_27020,always,TCP-27020,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
29,all,192.168.88.31_27021,always,TCP-27021,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
54,all,192.168.36.56,always,"HTTP
HTTPS",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,804.33 GB
,,,,,,,,,,,
Virtual-wan-link to port27(LAN),,,,,,,,,,,
7,all,192.168.78.241,always,"103.232.241.118_Service
SSH",ACCEPT,,Disabled,Standard,"g-default
NO
protect_client",All,801.26 MB
103.232.241.205 (8),all,10.6.2.10,always,ALL,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,30.81 MB
103.232.241.35 (9),all,103.232.241.35,always,"103.232.241.35
ALL_ICMP",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,2.53 GB
103.232.241.31 (14),all,192.168.74.21,always,UDP_1194,ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,10.03 kB
103.232.241.90 (16),all,192.168.167.90,always,"103.232.241.90
FTP
HTTP
HTTPS
SSH",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,2.21 MB
218.248.6.157 (19),all,192.168.0.38,always,"HTTP
HTTPS",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,0 B
23,all,192.168.167.151,always,"HTTP
HTTPS",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,294.91 GB
24,all,"192.168.41.34
192.168.41.35",always,"HTTP
HTTPS
TCP-1256
TCP-1257
TCP-4422
TCP-4466
TCP-8443
TCP_4200
TCP_4781-4790
TCP_8096",ACCEPT,,Disabled,Standard,"AV
NO
protect_client",All,1.29 TB
,,,,,,,,,,,
Implicit,,,,,,,,,,,
implicit_deny (0),all,all,always,ALL,DENY,,,,,Disabled,934.02 MB
