Generated on: 2024-12-24 15:57:57
Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/1,BHP1-A-3F-SW,-8.2
TenGigabitEthernet1/1/2,BHP1-A-3F-SW,-6.8
TenGigabitEthernet1/1/1,BHP1-A-6F-SW,-5.2
TenGigabitEthernet1/1/2,BHP1-A-6F-SW,-4.9
TenGigabitEthernet1/1/1,BHP1-A-9F-SW,-4.7
TenGigabitEthernet1/1/2,BHP1-A-9F-SW,-5.0
TenGigabitEthernet1/1/1,BHP1-A-GF-SW,-4.0
TenGigabitEthernet1/1/2,BHP1-A-GF-SW,-14.1
TenGigabitEthernet1/1/1,BHP1-B-3F-SW,-5.6
TenGigabitEthernet1/1/2,BHP1-B-3F-SW,-4.7
TenGigabitEthernet1/1/1,BHP1-B-6F-SW,-7.4
TenGigabitEthernet1/1/2,BHP1-B-6F-SW,-6.6
TenGigabitEthernet1/1/1,BHP1-B-9F-SW,-3.9
TenGigabitEthernet1/1/2,BHP1-B-9F-SW,-5.6
TenGigabitEthernet1/1/1,BHP1-B-GF-SW,-4.0
TenGigabitEthernet1/1/2,BHP1-B-GF-SW,-15.2
TenGigabitEthernet1/1/1,BHQ-A-3F-SW,-5.9
TenGigabitEthernet1/1/2,BHQ-A-3F-SW,-5.0
TenGigabitEthernet1/1/1,BHQ-A-6F-SW,-3.4
TenGigabitEthernet1/1/2,BHQ-A-6F-SW,-4.5
TenGigabitEthernet1/1/1,BHQ-A-9F-SW,-6.6
TenGigabitEthernet1/1/2,BHQ-A-9F-SW,-16.8
TenGigabitEthernet1/1/1,BHQ-A-GF-SW,-15.0
TenGigabitEthernet1/1/2,BHQ-A-GF-SW,-9.4
TenGigabitEthernet1/1/1,BHQ-B-3F-SW,-10.0
TenGigabitEthernet1/1/2,BHQ-B-3F-SW,-5.0
TenGigabitEthernet1/1/1,BHQ-B-6F-SW,-4.7
TenGigabitEthernet1/1/2,BHQ-B-6F-SW,-2.7
TenGigabitEthernet1/1/1,BHQ-B-9F-SW,-5.8
TenGigabitEthernet1/1/2,BHQ-B-9F-SW,-15.4
TenGigabitEthernet1/1/1,BHQ-B-GF-SW,-3.9
TenGigabitEthernet1/1/2,BHQ-B-GF-SW,-3.9
TenGigabitEthernet1/1/1,BM-1F,-4.7
TenGigabitEthernet4/1/1,BM-1F,-2.9
TenGigabitEthernet1/1/1,BM-2F,-4.7
TenGigabitEthernet4/1/2,BM-2F,-5.2
TenGigabitEthernet1/1/1,BM-3F,-3.7
TenGigabitEthernet4/1/1,BM-3F,-3.6
TenGigabitEthernet1/1/1,BM-GF,-5.7
TenGigabitEthernet3/1/1,BM-GF,-4.2
TenGigabitEthernet1/1/1,BT-1F,-0.5
TenGigabitEthernet2/1/1,BT-1F,-2.8
