Interface,Switch,Instant Input Power
Te1/0/2,DH-Dist-SW,-40.0
Te1/0/3,DH-Dist-SW,-2.2
Te1/0/4,DH-Dist-SW,-32.2
Te1/0/8,DH-Dist-SW,-40.0
Te1/0/13,DH-Dist-SW,-2.7
Te1/0/14,DH-Dist-SW,-2.5
Te1/0/15,DH-Dist-SW,-3.9
Te2/0/3,DH-Dist-SW,-2.2
Te2/0/7,DH-Dist-SW,-23.7
Te2/0/9,DH-Dist-SW,-40.0
Te2/0/11,DH-Dist-SW,-40.0
Te2/0/12,DH-Dist-SW,-4.0
Te2/0/13,DH-Dist-SW,-13.5
Te2/0/14,DH-Dist-SW,-1.7
Te2/0/15,DH-Dist-SW,-2.9
Te2/0/16,DH-Dist-SW,-2.2
Te1/0/1,DoD-Dist-SW,-1.2
Te1/0/2,DoD-Dist-SW,-9.2
Te1/0/3,DoD-Dist-SW,-2.8
Te1/0/4,DoD-Dist-SW,-3.5
Te1/0/5,DoD-Dist-SW,-9.3
Te1/0/6,DoD-Dist-SW,-1.7
Te1/0/7,DoD-Dist-SW,-4.3
Te1/0/8,DoD-Dist-SW,-3.1
Te1/0/13,DoD-Dist-SW,-0.7
Te1/0/14,DoD-Dist-SW,-3.5
Te1/0/15,DoD-Dist-SW,-1.3
Te1/0/16,DoD-Dist-SW,-5.1
Te2/0/1,DoD-Dist-SW,-2.4
Te2/0/2,DoD-Dist-SW,-3.5
Te2/0/3,DoD-Dist-SW,-4.8
Te2/0/4,DoD-Dist-SW,N/A
Te2/0/5,DoD-Dist-SW,-1.4
Te2/0/6,DoD-Dist-SW,-2.4
Te2/0/7,DoD-Dist-SW,-1.3
Te2/0/8,DoD-Dist-SW,-9.9
Te2/0/13,DoD-Dist-SW,-2.0
Te2/0/14,DoD-Dist-SW,-1.6
Te2/0/15,DoD-Dist-SW,-2.7
Te2/0/16,DoD-Dist-SW,-40.0
Te1/0/1,IGH-Dist-SW,-2.0
Te1/0/2,IGH-Dist-SW,-4.2
Te1/0/3,IGH-Dist-SW,-4.4
Te1/0/4,IGH-Dist-SW,-12.0
Te1/0/5,IGH-Dist-SW,-2.8
Te1/0/6,IGH-Dist-SW,-8.2
Te1/0/7,IGH-Dist-SW,-4.5
Te1/0/8,IGH-Dist-SW,-3.2
Te1/0/9,IGH-Dist-SW,-4.6
Te1/0/10,IGH-Dist-SW,-4.9
Te1/0/11,IGH-Dist-SW,-3.6
Te1/0/12,IGH-Dist-SW,-4.6
Te1/0/13,IGH-Dist-SW,-4.2
Te1/0/14,IGH-Dist-SW,-3.4
Te1/0/15,IGH-Dist-SW,-3.4
Te1/0/16,IGH-Dist-SW,-3.5
Te1/0/17,IGH-Dist-SW,-2.6
Te1/0/18,IGH-Dist-SW,-4.8
Te1/0/19,IGH-Dist-SW,-2.5
Te1/0/20,IGH-Dist-SW,-6.7
Te1/0/21,IGH-Dist-SW,-5.0
Te1/0/39,IGH-Dist-SW,-3.7
Te1/0/40,IGH-Dist-SW,-4.5
Te2/0/1,IGH-Dist-SW,-2.8
Te2/0/2,IGH-Dist-SW,-3.3
Te2/0/3,IGH-Dist-SW,-40.0
Te2/0/4,IGH-Dist-SW,-40.0
Te2/0/5,IGH-Dist-SW,-40.0
Te2/0/6,IGH-Dist-SW,-5.0
Te2/0/7,IGH-Dist-SW,-2.1
Te2/0/9,IGH-Dist-SW,-1.8
Te2/0/10,IGH-Dist-SW,-2.3
Te2/0/11,IGH-Dist-SW,-2.1
Te2/0/12,IGH-Dist-SW,-1.9
Te2/0/13,IGH-Dist-SW,-2.8
Te2/0/14,IGH-Dist-SW,-0.2
Te2/0/15,IGH-Dist-SW,-15.3
Te2/0/16,IGH-Dist-SW,-4.9
Te2/0/17,IGH-Dist-SW,-5.0
Te2/0/20,IGH-Dist-SW,-1.4
Te2/0/21,IGH-Dist-SW,-2.5
Te2/0/22,IGH-Dist-SW,-0.9
Te2/0/39,IGH-Dist-SW,-3.9
Te2/0/40,IGH-Dist-SW,-40.0
Te1/0/1,KNC-Dist-SW,-5.9
Te1/0/2,KNC-Dist-SW,-3.8
Te1/0/3,KNC-Dist-SW,-2.7
Te1/0/4,KNC-Dist-SW,-2.5
Te1/0/5,KNC-Dist-SW,-2.8
Te1/0/6,KNC-Dist-SW,-3.9
Te1/0/7,KNC-Dist-SW,-2.7
Te1/0/13,KNC-Dist-SW,-2.6
Te1/0/14,KNC-Dist-SW,-5.9
Te1/0/15,KNC-Dist-SW,-3.6
Te1/0/16,KNC-Dist-SW,-40.0
Te2/0/1,KNC-Dist-SW,-3.3
Te2/0/2,KNC-Dist-SW,-2.5
Te2/0/3,KNC-Dist-SW,-3.3
Te2/0/4,KNC-Dist-SW,-2.9
Te2/0/5,KNC-Dist-SW,-7.6
Te2/0/6,KNC-Dist-SW,-2.5
Te2/0/7,KNC-Dist-SW,-3.6
Te2/0/13,KNC-Dist-SW,-3.1
Te2/0/14,KNC-Dist-SW,-2.7
Te2/0/15,KNC-Dist-SW,-2.5
Te2/0/16,KNC-Dist-SW,-10.3
Te1/0/1,LH-Dist-SW,-2.8
Te1/0/2,LH-Dist-SW,-5.0
Te1/0/3,LH-Dist-SW,-17.3
Te1/0/4,LH-Dist-SW,-3.6
Te1/0/15,LH-Dist-SW,-1.0
Te2/0/1,LH-Dist-SW,-2.0
Te2/0/2,LH-Dist-SW,-3.4
Te2/0/3,LH-Dist-SW,-3.4
Te2/0/4,LH-Dist-SW,-40.0
Te2/0/15,LH-Dist-SW,-2.7
Te2/0/16,LH-Dist-SW,-40.0
Te1/0/1,MSME-Dist-SW,-3.7
Te1/0/2,MSME-Dist-SW,-4.6
Te1/0/3,MSME-Dist-SW,-2.7
Te1/0/4,MSME-Dist-SW,-6.5
Te1/0/5,MSME-Dist-SW,-7.1
Te1/0/15,MSME-Dist-SW,-2.8
