Hostname,IP Address,Status,System Name,Software Version,MAC Address,Serial Number,Chassis Type,Version
Pch2-Flr-5-Wing-A-Sw1,10.1.128.24,Command Output,Pch2-Flr-5-Wing-A-Sw1,WC.16.11.0001,14abec-032780,TW43HKV00D,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch2-Flr-5-Wing-B-Sw1,10.1.128.28,Command Output,PCH2-Flr-5-Wing-B-Sw1,WC.16.11.0001,14abec-03b9c0,TW43HKV04Q,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch3-Flr-2-Wing-A-Sw1,10.1.128.41,Command Output,Pch3-Flr-2-Wing-A-Sw1,WC.16.11.0001,14abec-034c80,TW43HKV09B,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch3-Flr-2-Wing-B-Sw1,10.1.128.45,Command Output,Pch3-Flr-2-Wing-B-Sw1,WC.16.11.0001,d4e053-01ac40,CN31HKV0BX,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch3-Flr-5-Wing-A-Sw1,10.1.128.44,Command Output,Pch3-Flr-5-Wing-A-Sw1,WC.16.11.0001,14abec-033c80,TW43HKV096,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch3-Flr-5-Wing-B-Sw1,10.1.128.48,Command Output,Pch3-Flr-5-Wing-B-Sw1,WC.16.11.0001,14abec-03eb40,TW43HKV0BX,2930F-48G-4SFP+  JL254A,WC.16.11.0001
ST1-14F,192.168.100.227,Command Output,ST1-14th-Floor,YC.16.08.0020,ecebb8-380f60,CN70JYH0C2,2540-24G-4SFP+  JL354A,YC.16.08.0020
ST1-3F,192.168.100.225,Command Output,ST-1-3rd-Floor,YC.16.08.0020,ecebb8-37fe40,CN79JYH0B6,2540-24G-4SFP+  JL354A,YC.16.08.0020
ST1-8F,192.168.100.226,Command Output,ST1-9th-Floor,YC.16.08.0020,ecebb8-384f40,CN70JYH091,2540-24G-4SFP+  JL354A,YC.16.08.0020
ST2-3F,192.168.100.223,Command Output,ST2-3rd-Floor,YC.16.08.0020,ecebb8-387fe0,CN70JYH081,2540-24G-4SFP+  JL354A,YC.16.08.0020
ST2-8F,192.168.100.222,Command Output,ST2-09,WC.16.11.0005,3821c7-b02900,CN93HKV2YP,2930F-48G-4SFP+  JL254A,WC.16.11.0005
