PoE Status,Serial Number,Description,Start Date,End Date,OEM,Location,Hostname,Name
Non PoE,FOC2650YJQU,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-05-ACC,CHY-05-ACC,Switch 3
Non PoE,FOC2650YJ4S,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-05-ACC,CHY-05-ACC,Switch 4
Non PoE,FOC2631YACU,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,CHY-Dist-SW,CHY-Dist-SW,Switch 1
Non PoE,FOC2631YAFH,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,CHY-Dist-SW,CHY-Dist-SW,Switch 2
PoE,FOC2630Y2LM,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CoreLab-1F,CoreLab-1F,Switch 1
Non PoE,FOC2651YEQQ,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,CoreLab-1F,CoreLab-1F,Switch 2
PoE,FOC2630Y2Y8,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CoreLab-2F,CoreLab-2F,Switch 1
Non PoE,FOC2650YK5G,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,CoreLab-GF,CoreLab-GF,Switch 1
Non PoE,FOC2651YCDP,C9300L-24T-4X,2023-APR-12,2026-APR-12,Cisco,CoreLab-GF,CoreLab-GF,Switch 2
PoE,FOC2630Y2L4,C9300L-24P-4X,2023-APR-12,2026-APR-12,Cisco,CoreLab-GF,CoreLab-GF,Switch 3
Non PoE,FOC2631YCQB,C9500-16X,2023-JUL-04,2026-JUL-04,Cisco,Corelab-Dist-SW,Corelab-Dist-SW,Switch 1
Non PoE,FOC2631YD3F,C9500-16X,2023-JUL-04,2026-JUL-04,Cisco,Corelab-Dist-SW,Corelab-Dist-SW,Switch 2
Non PoE,FOC2631YBTK,C9500-16X,2023-JUL-04,2026-JUL-04,Cisco,DH-Dist-SW,DH-Dist-SW,Switch 1
Non PoE,FOC2631YD9E,C9500-16X,2023-JUL-04,2026-JUL-04,Cisco,DH-Dist-SW,DH-Dist-SW,Switch 2
Non PoE,FJC265214FQ,C9500-16X,2023-MAY-02,2026-MAY-02,Cisco,DoD-Dist-SW,DoD-Dist-SW,Switch 1
Non PoE,FJC26512CK2,C9500-16X,2023-MAY-02,2026-MAY-02,Cisco,DoD-Dist-SW,DoD-Dist-SW,Switch 2
PoE,FOC2630Y1T3,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z1-GF,DoD-Z1-GF,Switch 1
Non PoE,FOC2650YNZH,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z1-GF,DoD-Z1-GF,Switch 2
Non PoE,FOC2650YLUH,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z1-GF,DoD-Z1-GF,Switch 3
Non PoE,FOC2650YL3M,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z1-GF,DoD-Z1-GF,Switch 4
Non PoE,FOC2650YJQL,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z1-GF,DoD-Z1-GF,Switch 5
PoE,FOC2629YRB4,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z2-GF,DoD-Z2-GF,Switch 1
PoE,FOC2630Y1BY,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z3-GF,DoD-Z3-GF,Switch 1
PoE,FOC2630Y27E,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z3-GF,DoD-Z3-GF,Switch 2
Non PoE,FOC2651YDEH,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z3-GF,DoD-Z3-GF,Switch 3
PoE,FVH2725L3AZ,C9300L-24P-4X,-,-,Cisco,DoD-Z5-1F,DoD-Z5-1F,Switch 1
PoE,FVH2725L3G7,C9300L-24P-4X,-,-,Cisco,DoD-Z5-1F,DoD-Z5-1F,Switch 2
PoE,FOC2630Y2LT,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z6-2F,DoD-Z6-2F,Switch 1
PoE,FOC2629YTK5,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z6-2F,DoD-Z6-2F,Switch 2
Non PoE,FOC2651YEAK,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z6-2F,DoD-Z6-2F,Switch 3
PoE,FOC2630Y28J,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z7-1F,DoD-Z7-1F,Switch 1
PoE,FOC2630Y3RG,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z8-2F,DoD-Z8-2F,Switch 1
PoE,FOC2630Y2J5,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z8-2F,DoD-Z8-2F,Switch 2
Non PoE,FOC2650YK12,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z8-2F,DoD-Z8-2F,Switch 3
PoE,FOC2630Y3KQ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z9-3F,DoD-Z9-3F,Switch 1
Non PoE,FOC2651YE7V,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,DoD-Z9-3F,DoD-Z9-3F,Switch 2
Non PoE,FOC2651Y3AM,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R1-1F,IGH- R1-1F,Switch 1
PoE,FOC2630Y2LW,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R1-1F,IGH- R1-1F,Switch 2
Non PoE,FOC2651Y40C,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R1-2F,IGH- R1-2F,Switch 1
PoE,FOC2630Y27T,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R1-2F,IGH- R1-2F,Switch 2
Non PoE,FOC2651Y403,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R1-3F,IGH- R1-3F,Switch 1
PoE,FOC2630Y2ET,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R1-3F,IGH- R1-3F,Switch 2
PoE,FOC2630Y25D,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R1-4F,IGH- R1-4F,Switch 1
PoE,FOC2630Y2SZ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R1-5F,IGH- R1-5F,Switch 1
PoE,FOC2630Y273,C9300L-24P-4X,-,-,Cisco,IGH- R1-GF,IGH- R1-GF,Switch 1
PoE,FOC2630Y39X,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R2-1F,IGH- R2-1F,Switch 1
Non PoE,FOC2651Y3ZY,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R2-2F,IGH- R2-2F,Switch 1
PoE,FOC2630Y245,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R2-2F,IGH- R2-2F,Switch 2
Non PoE,FOC2651Z336,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R2-3F,IGH- R2-3F,Switch 1
PoE,FOC2629YM0T,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,IGH- R2-3F,IGH- R2-3F,Switch 2
PoE,FOC2630Y1FZ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R2-4F,IGH- R2-4F,Switch 1
PoE,FOC2630Y39T,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,IGH- R2-5F,IGH- R2-5F,Switch 1
